Shark_ID,gc_ID,Shark Species,Prey Family,Number,Weight_gms
SLF139,SLF139.3,Scoliodon laticaudus,Engraulidae,1,2.67
SLF140,SLF140.1,Scoliodon laticaudus,Loliginidae,2,2.8
SLF140,SLF140.2,Scoliodon laticaudus,Penaeidae,1,0.2
SLF141,SLF141.1,Scoliodon laticaudus,Squillidae,3,2.07
SLF141,SLF141.2,Scoliodon laticaudus,Ephippidae,1,2.83
SLF141,SLF141.3,Scoliodon laticaudus,Cynoglossidae,2,2.47
SLF141,SLF141.4,Scoliodon laticaudus,Loliginidae,1,2.8
SLF142,SLF142.1,Scoliodon laticaudus,Carangidae,1,1.45
SLF142,SLF142.2,Scoliodon laticaudus,Loliginidae,1,0.63
SLF143,SLF143.1,Scoliodon laticaudus,Elopidae,1,2.69
SLF143,SLF143.2,Scoliodon laticaudus,Trichiuridae,3,3.47
SLF143,SLF143.3,Scoliodon laticaudus,Polychaete,3,1.42
SLF144,SLF144.1,Scoliodon laticaudus,Loliginidae,1,1.05
SLF144,SLF144.2,Scoliodon laticaudus,Carangidae,1,1.57
SLF145,SLF145.1,Scoliodon laticaudus,Mysidae,1,0.78
SLF145,SLF145.2,Scoliodon laticaudus,Loliginidae,1,1.42
SLF145,SLF145.3,Scoliodon laticaudus,Penaeidae,2,3.22
SLF146,SLF146.1,Scoliodon laticaudus,Mysidae,1,0.91
SLF147,SLF147.1,Scoliodon laticaudus,Squillidae,1,1.98
SLF147,SLF147.2,Scoliodon laticaudus,Penaeidae,1,0.91
SLF147,SLF147.3,Scoliodon laticaudus,Loliginidae,2,2.03
SLF148,SLF148.1,Scoliodon laticaudus,Squillidae,3,2.92
SLF148,SLF148.2,Scoliodon laticaudus,Loliginidae,1,2.12
SLF148,SLF148.3,Scoliodon laticaudus,Cynoglossidae,1,1.25
SLF148,SLF148.4,Scoliodon laticaudus,Ephippidae,2,3.03
SLF149,SLF149.1,Scoliodon laticaudus,Penaeidae,3,3.54
SLF149,SLF149.2,Scoliodon laticaudus,Loliginidae,1,0.85
SLF150,SLF150.1,Scoliodon laticaudus,Ephippidae,1,1.36
SLF150,SLF150.2,Scoliodon laticaudus,Engraulidae,1,1.23
SLF150,SLF150.3,Scoliodon laticaudus,Penaeidae,1,0.66
SLF151,SLF151.1,Scoliodon laticaudus,Loliginidae,1,0.99
SLF151,SLF151.2,Scoliodon laticaudus,Penaeidae,1,2.4
SLF152,SLF152.1,Scoliodon laticaudus,Grapsidae,1,1.77
SLF152,SLF152.2,Scoliodon laticaudus,Loliginidae,2,4.71
SLF153,SLF153,Scoliodon laticaudus,Penaeidae,1,0.49
SLF154,SLF154.1,Scoliodon laticaudus,Trichiuridae,1,0.56
SLF154,SLF154.3,Scoliodon laticaudus,Elopidae,1,2.23
SLF154,SLF154.4,Scoliodon laticaudus,Polychaete,1,0.53
SLF155,SLF155,Scoliodon laticaudus,Penaeidae,1,1.17
SLF156,SLF156.1,Scoliodon laticaudus,Polychaete,1,2.48
SLF156,SLF156.2,Scoliodon laticaudus,Nematoda,7,0.32
SLF156,SLF156.3,Scoliodon laticaudus,Mysidae,2,0.51
SLF157,SLF157.1,Scoliodon laticaudus,Penaeidae,2,1.81
SLF157,SLF157.2,Scoliodon laticaudus,Loliginidae,1,1.57
SLF157,SLF157.1,Scoliodon laticaudus,Penaeidae,1,3.12
SLF157,SLF157.2,Scoliodon laticaudus,Loliginidae,1,1.45
SLF158,SLF158.1,Scoliodon laticaudus,Cynoglossidae,1,0.91
SLF158,SLF158.2,Scoliodon laticaudus,Polychaete,1,0.98
SLF158,SLF158.3,Scoliodon laticaudus,Mysidae,1,0.12
SLF158,SLF158.4,Scoliodon laticaudus,Nematoda,1,0.29
SLF158,SLF158.5,Scoliodon laticaudus,Loliginidae,3,10.35
SLF159,SLF159.1,Scoliodon laticaudus,Penaeidae,2,1.6
SLF159,SLF159.2,Scoliodon laticaudus,Cynoglossidae,1,0.82
SLF160,SLF160.1,Scoliodon laticaudus,Loliginidae,2,3.56
SLF160,SLF160.2,Scoliodon laticaudus,Carangidae,2,1.54
SLF161,SLF161.1,Scoliodon laticaudus,Cynoglossidae,2,1.14
SLF161,SLF161.2,Scoliodon laticaudus,Portunidae,1,2.83
SLF161,SLF161.3,Scoliodon laticaudus,Penaeidae,3,2.36
SLF162,SLF162.1,Scoliodon laticaudus,Polychaete,1,0.54
SLF162,SLF162.2,Scoliodon laticaudus,Mysidae,3,1.41
SLF162,SLF162.3,Scoliodon laticaudus,Nematoda,8,0.32
SLF163,SLF163.1,Scoliodon laticaudus,Cynoglossidae,1,2.95
SLF163,SLF163.2,Scoliodon laticaudus,Penaeidae,2,2.89
CAM100,CAM100.1,Chiloscyllium arabicum,Loliginidae,1,3.19
CAM100,CAM100.2,Chiloscyllium arabicum,Penaeidae,2,2.91
CAM100,CAM100.3,Chiloscyllium arabicum,Cynoglossidae,1,2.32
CAM100,CAM100.4,Chiloscyllium arabicum,Portunidae,1,3.41
CAM101,CAM101.1,Chiloscyllium arabicum,Loliginidae,1,4.78
CAM101,CAM101.2,Chiloscyllium arabicum,Clupeidae,1,5.27
CAM101,CAM101.3,Chiloscyllium arabicum,Cynoglossidae,1,2.09
CAM102,CAM102.1,Chiloscyllium arabicum,Nematoda,7,0.11
CAM102,CAM102.2,Chiloscyllium arabicum,Squillidae,1,1.08
CAM103,CAM103.1,Chiloscyllium arabicum,Portunidae,2,3.1
CAM104,CAM104.1,Chiloscyllium arabicum,Loliginidae,2,1.86
CAM104,CAM104.2,Chiloscyllium arabicum,Cynoglossidae,2,4.78
CAM104,CAM104.3,Chiloscyllium arabicum,Squillidae,1,7.47
CAM104,CAM104.4,Chiloscyllium arabicum,Elopidae,1,5.27
SLF164,SLF164.1,Scoliodon laticaudus,Carangidae,2,1.9
SLF164,SLF164.2,Scoliodon laticaudus,Loliginidae,3,4.95
SLF165,SLF165.1,Scoliodon laticaudus,Penaeidae,1,1.62
SLF165,SLF165.2,Scoliodon laticaudus,Loliginidae,1,2.03
SLF166,SLF166.1,Scoliodon laticaudus,Engraulidae,2,4.78
SLF166,SLF166.2,Scoliodon laticaudus,Penaeidae,1,1.79
SLF166,SLF166.3,Scoliodon laticaudus,Portunidae,1,1.66
SLF167,SLF167.1,Scoliodon laticaudus,Cynoglossidae,1,1.58
SLF167,SLF167.2,Scoliodon laticaudus,Trichiuridae,1,1.85
SLF168,SLF168.1,Scoliodon laticaudus,loliginidae,3,5.33
SLF168,SLF168.1,Scoliodon laticaudus,Penaeidae,1,1.97
SLF169,SLF169.1,Scoliodon laticaudus,Loliginidae,1,0.9
SLF169,SLF169.2,Scoliodon laticaudus,Grapsidae,2,2.95
SLF170,SLF170.1,Scoliodon laticaudus,Loliginidae,1,1.3
SLF170,SLF170.2,Scoliodon laticaudus,Grapsidae,2,1.39
SLM171,SLM171.1,Scoliodon laticaudus,Squillidae,1,1.34
SLM171,SLM171.2,Scoliodon laticaudus,Penaeidae,1,0.75
